category,description,authentication,self_serve,api_surface,mcp,buildable,blocker,evidence,app_name,website,error,manual_authentication,manual_self_serve,manual_api_surface,manual_buildable,auth_correct,self_serve_correct,api_correct,buildable_correct,notes
Finance and Fintech,NMI-powered payment gateway integration API.,API Key,Gated,REST,No,Yes,Partner Access,https://www.paygent.com/development,Paygent Connect,paygent,,API Key,Gated,REST,No,Yes,Yes,Yes,No,Payment gateway SDK access is gated; buildable is No for public dev.
"Data, SEO and Scraping",Visual web scraper offering APIs to run scrapers and download data.,API Key,Yes,REST,No,Yes,,https://docs.mrscraper.com/,MrScraper,docs.mrscraper.com,,API Key,Yes,REST,Yes,Yes,Yes,Yes,Yes,Matches official docs.
Productivity and Project Management,"Workspace for notes, tasks, databases, and collaboration with Notion API.","OAuth2, Internal Integration Token",Yes,REST,Yes (via MCP server),Yes,,https://developers.notion.com/,Notion,developers.notion.com,,"OAuth2, Internal Token",Yes,REST,Yes,Yes,Yes,Yes,Yes,Matches official docs.
Ecommerce,"Website builder offering inventory, order, and transactions APIs.","API Key, OAuth2",Yes,REST,No,Yes,,https://developers.squarespace.com/,Squarespace,developers.squarespace.com,,"API Key, OAuth2",Yes,REST,Yes,Yes,Yes,Yes,Yes,Matches official docs.
Ecommerce,Adobe Commerce API offering comprehensive REST and GraphQL schemas.,"OAuth 1.0a, Admin Token",Yes,"REST, GraphQL",No,Yes,,https://developer.adobe.com/commerce/,Magento (Adobe Commerce),developer.adobe.com/commerce,,"OAuth 1.0a, Admin Token",Yes,"REST, GraphQL",Yes,Yes,Yes,Yes,Yes,Matches official docs.
"Marketing, Ads, Email and Social",Transactional email service with API for email campaigns and templates.,API Key,Yes,REST,No,Yes,,https://sendgrid.com/docs/API_Reference/index.html,SendGrid,sendgrid.com,,API Key,Yes,REST,Yes,Yes,Yes,Yes,Yes,Matches official docs.
Communications and Messaging,"Business communication software with APIs for bots, commands, and widgets.",OAuth2,Yes,REST,No,Yes,,https://www.zoho.com/cliq/help/restapi/,Zoho Cliq,zoho.com/cliq,,"OAuth2, API Key",Yes,REST,Yes,No,Yes,Yes,Yes,AI missed Zoho API Keys under authentication.
Finance and Fintech,Online payment processing API built for developer integrations.,"API Key, Restricted Token, OAuth2",Yes,"REST, Webhooks",No,Yes,,https://stripe.com/docs/api,Stripe,stripe.com/docs/api,,"API Key, Restricted Token, OAuth2",Yes,"REST, Webhooks",Yes,Yes,Yes,Yes,Yes,Matches official docs.
Support and Helpdesk,"Customer service software offering APIs to manage tickets, users, and customer interactions.","OAuth2, API Token, Basic Auth",Yes,"REST, Webhooks",No,Yes,,https://developer.zendesk.com/api-reference/,Zendesk,zendesk.com,,"OAuth2, API Token, Basic Auth",Yes,"REST, Webhooks",Yes,Yes,Yes,Yes,Yes,Matches official docs.
Enterprise,"Salesforce provides developer documentation and APIs to build mobile and enterprise applications in the cloud. These tools allow for integrating Salesforce data into apps, performing complex operations on a large scale, and connecting apps, systems, and data sources using options like Apex, platform events, APIs, and no-code tools.",Unknown,True,"REST, Apex, Platform Events",Unknown,True,Unknown,"category: ""build mobile and enterprise applications in the cloud"" (Result 1), ""Integrate Salesforce data into apps and perform complex operations on a large scale."" (Result 2), ""APIs and Integration. Explore your options for integrating apps, systems, and data sources"" (Result 3). description: ""Learn how to build mobile and enterprise applications in the cloud using our developer documentation."" (Result 1), ""Integrate Salesforce data into apps and perform complex operations on a large scale."" (Result 2), ""Explore your options for integrating apps, systems, and data sources, including Apex, platform events, APIs, and no-code tools."" (Result 3). self_serve: ""Salesforce Developers: Developer Portal"" (Result 2). api_surface: ""Salesforce API Docs"" (Result 1), ""Introduction to REST API"" (Result 1), ""Salesforce REST API"" (Result 2), ""APIs and Integration. Explore your options for integrating apps, systems, and data sources, including Apex, platform events, APIs, and no-code tools."" (Result 3). buildable: ""Learn how to build mobile and enterprise applications in the cloud using our developer documentation."" (Result 1), ""Explore your options for integrating apps, systems, and data sources"" (Result 3).",Salesforce,salesforce.com,,"OAuth2, API Key",Yes,"REST, Apex, SOAP",Yes,No,Yes,Yes,Yes,AI wrote Unknown for Auth; Salesforce supports OAuth2.
Support and Helpdesk,"Ecommerce helpdesk with APIs for managing tickets, customers, and integrations.","API Key, Basic Auth",Yes,"REST, Webhooks",No,Yes,,https://developers.gorgias.com/,Gorgias,gorgias.com,,"API Key, Basic Auth",Yes,"REST, Webhooks",Yes,Yes,Yes,Yes,Yes,Matches official docs.
"Marketing, Ads, Email and Social","API to manage Google Ads campaigns, keyword targeting, and performance reporting.","OAuth2, Developer Token",Yes,"gRPC, REST",No,Yes,Developer Token Approval,https://developers.google.com/google-ads/api/docs/start,Google Ads,developers.google.com/google-ads,,"OAuth2, Developer Token",Yes,"gRPC, REST",Yes,Yes,Yes,Yes,Yes,Matches official docs.
Productivity and Project Management,Project tracking software for agile teams with fully-featured Jira Cloud REST APIs.,"OAuth2, Basic Auth (API Token)",Yes,"REST, Webhooks",No,Yes,,https://developer.atlassian.com/cloud/jira/platform/rest/v3/intro/,Jira,developer.atlassian.com,,"OAuth2, Basic Auth (API Token)",Yes,"REST, Webhooks",Yes,Yes,Yes,Yes,Yes,Matches official docs.
"Marketing, Ads, Email and Social","Marketing platform with APIs for managing contacts, calendars, and pipelines.","OAuth2, API Key",Yes,REST,No,Yes,,https://highlevel.stoplight.io/,GoHighLevel,highlevel.stoplight.io,,"OAuth2, API Key",Yes,REST,Yes,Yes,Yes,Yes,Yes,Matches official docs.
"AI, Research and Media-native",AI research assistant powered by Google Gemini Enterprise API.,"API Key, OAuth2",Yes,REST,No,Yes,,https://cloud.google.com/gemini,NotebookLM,cloud.google.com/gemini,,"API Key, OAuth2",Yes,REST,Yes,Yes,Yes,Yes,Yes,Matches official docs.
CRM,"The Twenty API allows developers to interact programmatically with the Twenty CRM platform, enabling integration with other applications.","API Key, OAuth",Yes,"REST, GraphQL, Webhooks",Unknown,Yes,Unknown,"category: Snippet 2 (Twenty CRM platform); description: Snippet 2 (The Twenty API allows developers to interact programmatically with the Twenty CRM platform. Using the API, you can integrate Twenty with other ...); authentication: Snippet 1 (OAuth), Snippet 3 (after creating an API key); self_serve: Snippet 3 (Your workspace-specific API documentation is available under Settings → API & Webhooks after creating an API key. It includes an interactive playground where ...); api_surface: Snippet 1 (REST and GraphQL APIs, webhooks); buildable: Snippet 1 (Build apps)",Twenty,twenty.com,,"API Key, OAuth2",Yes,"REST, GraphQL, Webhooks",Yes,No,Yes,Yes,Yes,AI wrote generic OAuth instead of OAuth2 standard.
Productivity and Project Management,"Productivity platform with a robust REST API to handle tasks, lists, folders, and workspaces.","OAuth2, Personal API Token",Yes,"REST, Webhooks",No,Yes,,https://clickup.com/api,ClickUp,clickup.com/api,,"OAuth2, Personal Token",Yes,"REST, Webhooks",Yes,Yes,Yes,Yes,Yes,Matches official docs.
Productivity and Project Management,"Doc platform with APIs to programmatically read and write to docs, tables, and formulas.","API Token, OAuth2",Yes,REST,No,Yes,,https://coda.io/developers,Coda,coda.io/developers,,"API Token, OAuth2",Yes,REST,Yes,Yes,Yes,Yes,Yes,Matches official docs.
